Date;Type;Valeur
11/12/1885 08:00;Hauteur;560
26/09/1885 08:00;Hauteur;90
30/10/1885 15:00;Débit;715
30/10/1885 15:00;Hauteur;230
30/11/1885 15:00;Débit;778
30/11/1885 15:00;Hauteur;250
11/12/1885 08:00;Débit;1620
11/12/1885 08:00;Hauteur;560
04/02/1886 15:00;Hauteur;460
30/01/1886 08:00;Débit;1170
30/01/1886 08:00;Hauteur;400
04/02/1886 15:00;Débit;1320
04/02/1886 15:00;Hauteur;460
08/03/1886 08:00;Débit;995
08/03/1886 08:00;Hauteur;330
12/04/1886 08:00;Débit;401
12/04/1886 08:00;Hauteur;140
14/05/1886 08:00;Débit;348
14/05/1886 08:00;Hauteur;130
12/06/1886 15:00;Débit;442
12/06/1886 15:00;Hauteur;150
01/07/1886 08:00;Débit;348
01/07/1886 08:00;Hauteur;130
02/08/1886 08:00;Débit;207
02/08/1886 08:00;Hauteur;110
11/09/1886 15:00;Débit;149
11/09/1886 15:00;Hauteur;100
19/10/1886 15:00;Débit;348
19/10/1886 15:00;Hauteur;130
20/11/1886 08:00;Débit;488
20/11/1886 08:00;Hauteur;160
31/12/1886 15:00;Débit;1070
31/12/1886 15:00;Hauteur;360
01/01/1887 08:00;Hauteur;360
01/01/1887 08:00;Débit;1070
01/01/1887 08:00;Hauteur;360
05/02/1887 08:00;Débit;488
05/02/1887 08:00;Hauteur;160
27/03/1887 15:00;Débit;520
27/03/1887 15:00;Hauteur;170
03/04/1887 08:00;Débit;618
03/04/1887 08:00;Hauteur;200
07/05/1887 08:00;Débit;715
07/05/1887 08:00;Hauteur;230
04/06/1887 15:00;Débit;553
04/06/1887 15:00;Hauteur;180
01/07/1887 08:00;Débit;207
01/07/1887 08:00;Hauteur;110
02/08/1887 08:00;Débit;207
02/08/1887 08:00;Hauteur;110
10/09/1887 08:00;Débit;115
10/09/1887 08:00;Hauteur;90
05/10/1887 08:00;Débit;149
05/10/1887 08:00;Hauteur;100
27/11/1887 08:00;Débit;278
27/11/1887 08:00;Hauteur;120
18/12/1887 08:00;Débit;891
18/12/1887 08:00;Hauteur;290
18/03/1888 08:00;Débit;1170
18/03/1888 08:00;Hauteur;400
24/01/1888 15:00;Débit;520
24/01/1888 15:00;Hauteur;170
13/02/1888 15:00;Débit;807
13/02/1888 15:00;Hauteur;260
18/03/1888 08:00;Débit;1170
18/03/1888 08:00;Hauteur;400
03/04/1888 08:00;Débit;1120
03/04/1888 08:00;Hauteur;380
01/05/1888 00:01;Débit;849
01/05/1888 00:01;Hauteur;275
29/06/1888 15:00;Débit;348
29/06/1888 15:00;Hauteur;130
20/07/1888 08:00;Débit;553
20/07/1888 08:00;Hauteur;180
02/08/1888 08:00;Débit;553
02/08/1888 08:00;Hauteur;180
06/09/1888 08:00;Débit;207
06/09/1888 08:00;Hauteur;110
14/10/1888 15:00;Débit;401
14/10/1888 15:00;Hauteur;140
30/11/1888 15:00;Débit;442
30/11/1888 15:00;Hauteur;150
03/12/1888 15:00;Débit;585
03/12/1888 15:00;Hauteur;190
24/02/1889 15:00;Débit;1670
24/02/1889 15:00;Hauteur;578
01/01/1889 00:01;Débit;477
01/01/1889 00:01;Hauteur;158
24/02/1889 15:00;Débit;1670
24/02/1889 15:00;Hauteur;578
01/03/1889 00:01;Débit;1370
01/03/1889 00:01;Hauteur;475
07/04/1889 08:00;Débit;891
07/04/1889 08:00;Hauteur;290
03/05/1889 08:00;Débit;488
03/05/1889 08:00;Hauteur;160
17/06/1889 08:00;Débit;488
17/06/1889 08:00;Hauteur;160
01/07/1889 08:00;Débit;488
01/07/1889 08:00;Hauteur;160
08/08/1889 08:00;Débit;278
08/08/1889 08:00;Hauteur;120
24/09/1889 15:00;Débit;278
24/09/1889 15:00;Hauteur;120
24/10/1889 08:00;Débit;348
24/10/1889 08:00;Hauteur;130
14/11/1889 08:00;Débit;585
14/11/1889 08:00;Hauteur;190
12/12/1889 15:00;Débit;618
12/12/1889 15:00;Hauteur;200
17/05/1890 15:00;Hauteur;260
25/01/1890 15:00;Débit;682
25/01/1890 15:00;Hauteur;220
01/02/1890 08:00;Débit;585
01/02/1890 08:00;Hauteur;190
10/03/1890 15:00;Débit;278
10/03/1890 15:00;Hauteur;120
28/04/1890 08:00;Débit;442
28/04/1890 08:00;Hauteur;150
17/05/1890 15:00;Débit;807
17/05/1890 15:00;Hauteur;260
01/06/1890 00:01;Débit;437
01/06/1890 00:01;Hauteur;149
12/07/1890 08:00;Débit;348
12/07/1890 08:00;Hauteur;130
09/08/1890 15:00;Débit;348
09/08/1890 15:00;Hauteur;130
23/09/1890 15:00;Débit;348
23/09/1890 15:00;Hauteur;130
28/10/1890 15:00;Débit;401
28/10/1890 15:00;Hauteur;140
26/11/1890 15:00;Débit;618
26/11/1890 15:00;Hauteur;200
03/12/1890 08:00;Débit;585
