Procédure : QJM - Année : 1885

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1885;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;;;;;
F;;;;;
M;;;;;
A;;;;;
M;;;;;
J;;;;;
J;;;;;
A;;;;;
S;;;;;
O;320.00;320.00;#;;
N;429.00;429.00;#;;
D;1000.00;1000.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1885
Ecoulement mensuel;Validité;;;;;;;;;;Estimé;Estimé;Estimé;;
;();;;;;;;;;;320.00;429.00;1000.00;;
;();;;;;;;;;;7.31;9.79;22.90;;
;();;;;;;;;;;19.60;25.40;61.20;;
;
Ecoulement naturel reconstitué;();;;;;;;;;;320.00;429.00;1000.00;;
;();;;;;;;;;;7.31;9.79;22.90;;
;();;;;;;;;;;19.60;25.40;61.20;;
;
Maximum instantané;();;;;;;;;;;715.00;778.00;1620.00;;
;Date; ; ; ; ; ; ; ; ; ;30/10/1885 15:00;30/11/1885 15:00;11/12/1885 08:00; ;
;();;;;;;;;;90.00;230.00;250.00;560.00;560.00;
;Date; ; ; ; ; ; ; ; ;26/09/1885 08:00;30/10/1885 15:00;30/11/1885 15:00;11/12/1885 08:00;11/12/1885 08:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;;;;;;;;;;;;;;;;;;;103.00;Estimé;635.00;;790.00;;
2;;;;;;;;;;;;;;;;;;;124.00;Estimé;653.00;;864.00;;
3;;;;;;;;;;;;;;;;;;;101.00;Estimé;683.00;;917.00;;
4;;;;;;;;;;;;;;;;;;;129.00;Estimé;709.00;;945.00;;
5;;;;;;;;;;;;;;;;;;;172.00;Estimé;685.00;;950.00;;
6;;;;;;;;;;;;;;;;;;;125.00;Estimé;682.00;;973.00;;
7;;;;;;;;;;;;;;;;;;;144.00;Estimé;686.00;;995.00;;
8;;;;;;;;;;;;;;;;;;;149.00;Estimé;679.00;;1120.00;;
9;;;;;;;;;;;;;;;;;;;179.00;Estimé;650.00;;1280.00;;
10;;;;;;;;;;;;;;;;;;;243.00;Estimé;616.00;;1540.00;Estimé;
11;;;;;;;;;;;;;;;;;;;220.00;Estimé;565.00;;1570.00;Estimé;
12;;;;;;;;;;;;;;;;;;;309.00;Estimé;488.00;Estimé;1450.00;Estimé;
13;;;;;;;;;;;;;;;;;;;414.00;Estimé;480.00;Estimé;1360.00;;
14;;;;;;;;;;;;;;;;;;;533.00;;419.00;Estimé;1340.00;;
